,date,time,static
225,('date=2021-06-25', 'time=18:12:57'," 'up""')"
226,('date=2021-06-25', 'time=18:12:18'," 'down""')"
227,('date=2021-06-25', 'time=18:12:18'," 'down""')"
275,('date=2021-06-25', 'time=10:12:18'," 'up""')"
276,('date=2021-06-25', 'time=10:12:17'," 'up""')"
277,('date=2021-06-24', 'time=18:03:27'," 'down""')"
304,('date=2021-06-24', 'time=13:40:50'," 'up""')"
305,('date=2021-06-24', 'time=13:40:50'," 'up""')"
306,('date=2021-06-24', 'time=13:40:40'," 'down""')"
307,('date=2021-06-24', 'time=13:40:37'," 'down""')"
324,('date=2021-06-24', 'time=10:53:40'," 'up""')"
325,('date=2021-06-24', 'time=10:53:39'," 'up""')"
326,('date=2021-06-24', 'time=10:53:02'," 'down""')"
328,('date=2021-06-24', 'time=10:33:11'," 'up""')"
329,('date=2021-06-24', 'time=10:33:07'," 'up""')"
330,('date=2021-06-24', 'time=09:54:00'," 'down""')"
331,('date=2021-06-24', 'time=09:53:58'," 'down""')"
332,('date=2021-06-24', 'time=09:46:06'," 'up""')"
333,('date=2021-06-24', 'time=09:46:05'," 'up""')"
335,('date=2021-06-23', 'time=16:27:58'," 'down""')"
336,('date=2021-06-23', 'time=16:27:57'," 'down""')"
340,('date=2021-06-23', 'time=15:49:10'," 'up""')"
341,('date=2021-06-23', 'time=15:49:08'," 'up""')"
342,('date=2021-06-23', 'time=15:48:50'," 'down""')"
343,('date=2021-06-23', 'time=15:48:50'," 'down""')"
352,('date=2021-06-23', 'time=14:21:02'," 'up""')"
353,('date=2021-06-23', 'time=14:21:01'," 'up""')"
354,('date=2021-06-23', 'time=13:16:56'," 'down""')"
355,('date=2021-06-23', 'time=13:16:55'," 'down""')"
356,('date=2021-06-23', 'time=13:13:08'," 'up""')"
357,('date=2021-06-23', 'time=13:13:07'," 'up""')"
358,('date=2021-06-23', 'time=13:08:56'," 'down""')"
359,('date=2021-06-23', 'time=13:08:54'," 'down""')"
362,('date=2021-06-23', 'time=12:45:39'," 'up""')"
363,('date=2021-06-23', 'time=12:45:38'," 'up""')"
